id;start_date;end_date;language
1;2020-02-12T19:00:00;2020-02-12T16:50:15;SPANISH
2;2020-02-11T23:50:11;2020-02-12T18:54:36;SPANISH
3;2020-02-12T14:45:30;2020-02-12T01:19:39;FRENCH
4;2020-02-12T06:03:01;2020-02-12T17:34:27;FRENCH
5;2020-02-12T15:33:19;2020-02-12T20:20:18;FRENCH
6;2020-02-12T09:25:40;2020-02-12T21:33:54;FRENCH
7;2020-02-12T11:11:00;2020-02-12T05:01:51;FRENCH
8;2020-02-12T10:07:13;2020-02-12T20:23:21;SPANISH
9;2020-02-12T08:48:22;2020-02-12T05:29:45;SPANISH
10;2020-02-12T17:00:26;2020-02-12T03:34:56;SPANISH
